dataset,experiment,seed,metric,difference
CBIS-DDSM,hybrid_200,44,Precision,-0.012843137254901937
CBIS-DDSM,hybrid_200,44,Recall,-0.024489795918367308
CBIS-DDSM,hybrid_200,44,F1-Score,-0.019959460473962132
CBIS-DDSM,hybrid_200,44,AUROC,0.004757571818536532
CBIS-DDSM,hybrid_200,44,AUPRC,0.042185221504252524
CBIS-DDSM,hybrid_200,45,accuracy,-0.01741293532338306
CBIS-DDSM,hybrid_200,45,Precision,0.02063492063492056
CBIS-DDSM,hybrid_200,45,Recall,-0.06938775510204087
CBIS-DDSM,hybrid_200,45,F1-Score,-0.025643221028297414
CBIS-DDSM,hybrid_200,45,AUROC,-0.041362277395034286
CBIS-DDSM,hybrid_200,45,AUPRC,-0.044528920892508594
CBIS-DDSM,hybrid_200,46,accuracy,0.01243781094527363
CBIS-DDSM,hybrid_200,46,Precision,-0.023494621152144624
CBIS-DDSM,hybrid_200,46,Recall,0.05306122448979589
CBIS-DDSM,hybrid_200,46,F1-Score,0.02126599102840998
CBIS-DDSM,hybrid_200,46,AUROC,-0.014506694397504183
CBIS-DDSM,hybrid_200,46,AUPRC,-0.025635327094133964
BCDR,hybrid_200,42,accuracy,-0.028028933092224206
BCDR,hybrid_200,42,Precision,-0.011165048543689271
BCDR,hybrid_200,42,Recall,-0.056451612903225756
BCDR,hybrid_200,42,F1-Score,-0.03928904466381555
BCDR,hybrid_200,42,AUROC,-0.02434289127837519
BCDR,hybrid_200,42,AUPRC,-0.01544841780997197
BCDR,hybrid_200,43,accuracy,-0.047016274864376206
BCDR,hybrid_200,43,Precision,0.008067926738020148
BCDR,hybrid_200,43,Recall,-0.12903225806451613
BCDR,hybrid_200,43,F1-Score,-0.08121813629626362
BCDR,hybrid_200,43,AUROC,-0.0006006902960307148
BCDR,hybrid_200,43,AUPRC,0.006316710368278744
BCDR,hybrid_200,44,accuracy,-0.022603978300180794
BCDR,hybrid_200,44,Precision,0.0027649285962235703
BCDR,hybrid_200,44,Recall,-0.06451612903225801
BCDR,hybrid_200,44,F1-Score,-0.03857517400018873
BCDR,hybrid_200,44,AUROC,0.013185317934421903
BCDR,hybrid_200,44,AUPRC,0.027120815359171324
BCDR,hybrid_200,45,accuracy,-0.03435804701627487
BCDR,hybrid_200,45,Precision,0.02301349325337332
BCDR,hybrid_200,45,Recall,-0.1274193548387097
BCDR,hybrid_200,45,F1-Score,-0.06611111111111112
BCDR,hybrid_200,45,AUROC,-0.01637793707686197
BCDR,hybrid_200,45,AUPRC,-0.009820437597403586
BCDR,hybrid_200,46,accuracy,0.029837251356238714
BCDR,hybrid_200,46,Precision,-0.02796983029541167
BCDR,hybrid_200,46,Recall,0.11451612903225805
BCDR,hybrid_200,46,F1-Score,0.06539284391842781
BCDR,hybrid_200,46,AUROC,-0.00016925527678202101
BCDR,hybrid_200,46,AUPRC,-0.024776222309501494
CBIS-DDSM,hybrid_250,42,accuracy,-0.01243781094527363
CBIS-DDSM,hybrid_250,42,Precision,0.0
CBIS-DDSM,hybrid_250,42,Recall,-0.02448979591836742
CBIS-DDSM,hybrid_250,42,F1-Score,-0.014423076923076872
CBIS-DDSM,hybrid_250,42,AUROC,-0.04123228909398147
CBIS-DDSM,hybrid_250,42,AUPRC,-0.03968821851300641
CBIS-DDSM,hybrid_250,43,accuracy,-0.01492537313432829
CBIS-DDSM,hybrid_250,43,Precision,0.0026568727045400697
CBIS-DDSM,hybrid_250,43,Recall,-0.032653061224489854
CBIS-DDSM,hybrid_250,43,F1-Score,-0.01910972147940926
CBIS-DDSM,hybrid_250,43,AUROC,-0.03514883660470558
CBIS-DDSM,hybrid_250,43,AUPRC,-0.048714358715228445
CBIS-DDSM,hybrid_250,44,accuracy,-0.01741293532338306
CBIS-DDSM,hybrid_250,44,Precision,-0.028459250998977725
CBIS-DDSM,hybrid_250,44,Recall,0.0
CBIS-DDSM,hybrid_250,44,F1-Score,-0.011966162622592091
CBIS-DDSM,hybrid_250,44,AUROC,0.015234628883400658
CBIS-DDSM,hybrid_250,44,AUPRC,0.04809610839706813
CBIS-DDSM,hybrid_250,45,accuracy,-0.02238805970149249
CBIS-DDSM,hybrid_250,45,Precision,0.021942110177404217
CBIS-DDSM,hybrid_250,45,Recall,-0.08163265306122447
CBIS-DDSM,hybrid_250,45,F1-Score,-0.03176138375316273
CBIS-DDSM,hybrid_250,45,AUROC,-0.018068373846353958
CBIS-DDSM,hybrid_250,45,AUPRC,-0.023713446573356278
CBIS-DDSM,hybrid_250,46,accuracy,-0.027363184079602032
CBIS-DDSM,hybrid_250,46,Precision,-0.011880332649314207
CBIS-DDSM,hybrid_250,46,Recall,-0.04081632653061229
CBIS-DDSM,hybrid_250,46,F1-Score,-0.030200746136081036
CBIS-DDSM,hybrid_250,46,AUROC,-0.03026127648511634
CBIS-DDSM,hybrid_250,46,AUPRC,-0.01360788550449965
BCDR,hybrid_250,42,accuracy,-0.012658227848101222
BCDR,hybrid_250,42,Precision,-0.02014425459283864
BCDR,hybrid_250,42,Recall,0.0
BCDR,hybrid_250,42,F1-Score,-0.00841643566709982
BCDR,hybrid_250,42,AUROC,-0.01683924067436615
BCDR,hybrid_250,42,AUPRC,-0.009699360930213508
BCDR,hybrid_250,43,accuracy,-0.0488245931283906
BCDR,hybrid_250,43,Precision,0.01682000802564343
BCDR,hybrid_250,43,Recall,-0.1435483870967742
BCDR,hybrid_250,43,F1-Score,-0.0891091583311574
BCDR,hybrid_250,43,AUROC,-0.00825700252223549
BCDR,hybrid_250,43,AUPRC,-0.007023185226300854
BCDR,hybrid_250,44,accuracy,-0.016274864376130127
BCDR,hybrid_250,44,Precision,-0.003962618534976481
BCDR,hybrid_250,44,Recall,-0.0370967741935484
BCDR,hybrid_250,44,F1-Score,-0.023880214918812204
BCDR,hybrid_250,44,AUROC,0.00757666268418955
BCDR,hybrid_250,44,AUPRC,0.009990803783957558
BCDR,hybrid_250,45,accuracy,-0.004520795660036159
BCDR,hybrid_250,45,Precision,0.02626380984265153
BCDR,hybrid_250,45,Recall,-0.056451612903225756
BCDR,hybrid_250,45,F1-Score,-0.02034508076358299
BCDR,hybrid_250,45,AUROC,0.0127572016460904
BCDR,hybrid_250,45,AUPRC,0.02067936460272013
BCDR,hybrid_250,46,accuracy,-0.032549728752260365
BCDR,hybrid_250,46,Precision,-0.04304304304304307
BCDR,hybrid_250,46,Recall,-0.030645161290322576
BCDR,hybrid_250,46,F1-Score,-0.035861020732894766
BCDR,hybrid_250,46,AUROC,-0.049585158635337745
BCDR,hybrid_250,46,AUPRC,-0.060510132300153674
CBIS-DDSM,synthetic_only_matched,42,accuracy,-0.1766169154228856
CBIS-DDSM,synthetic_only_matched,42,Precision,-0.09897292250233425
CBIS-DDSM,synthetic_only_matched,42,Recall,-0.2612244897959184
CBIS-DDSM,synthetic_only_matched,42,F1-Score,-0.2082942183444696
CBIS-DDSM,synthetic_only_matched,42,AUROC,-0.17548420642142193
CBIS-DDSM,synthetic_only_matched,42,AUPRC,-0.12905374094283184
CBIS-DDSM,synthetic_only_matched,43,accuracy,-0.19651741293532332
CBIS-DDSM,synthetic_only_matched,43,Precision,-0.16172187841281405
CBIS-DDSM,synthetic_only_matched,43,Recall,-0.23673469387755108
CBIS-DDSM,synthetic_only_matched,43,F1-Score,-0.21424890633394367
CBIS-DDSM,synthetic_only_matched,43,AUROC,-0.20174184323410882
CBIS-DDSM,synthetic_only_matched,43,AUPRC,-0.1686901994835076
CBIS-DDSM,synthetic_only_matched,44,accuracy,-0.11940298507462677
CBIS-DDSM,synthetic_only_matched,44,Precision,-0.1888776200135226
CBIS-DDSM,synthetic_only_matched,44,Recall,0.0775510204081632
CBIS-DDSM,synthetic_only_matched,44,F1-Score,-0.05427637741190183
CBIS-DDSM,synthetic_only_matched,44,AUROC,-0.16802287794098525
CBIS-DDSM,synthetic_only_matched,44,AUPRC,-0.11166208780775921
CBIS-DDSM,synthetic_only_matched,45,accuracy,-0.1915422885572139
CBIS-DDSM,synthetic_only_matched,45,Precision,-0.14726631393298062
CBIS-DDSM,synthetic_only_matched,45,Recall,-0.17551020408163265
CBIS-DDSM,synthetic_only_matched,45,F1-Score,-0.16123791931919385
CBIS-DDSM,synthetic_only_matched,45,AUROC,-0.27900688937995577
CBIS-DDSM,synthetic_only_matched,45,AUPRC,-0.22743003887326485
CBIS-DDSM,synthetic_only_matched,46,accuracy,-0.12437810945273642
CBIS-DDSM,synthetic_only_matched,46,Precision,-0.16838349298048128
CBIS-DDSM,synthetic_only_matched,46,Recall,-0.01632653061224487
CBIS-DDSM,synthetic_only_matched,46,F1-Score,-0.08328035600762873
CBIS-DDSM,synthetic_only_matched,46,AUROC,-0.18596126348628628
CBIS-DDSM,synthetic_only_matched,46,AUPRC,-0.15200868963846448
BCDR,synthetic_only_matched,42,accuracy,-0.08860759493670878
BCDR,synthetic_only_matched,42,Precision,-0.15084246789852795
BCDR,synthetic_only_matched,42,Recall,0.13064516129032266
BCDR,synthetic_only_matched,42,F1-Score,-0.012612697961568164
BCDR,synthetic_only_matched,42,AUROC,-0.13346774193548394
BCDR,synthetic_only_matched,42,AUPRC,-0.09081219223841552
BCDR,synthetic_only_matched,43,accuracy,-0.11573236889692584
BCDR,synthetic_only_matched,43,Precision,-0.07637898441768154
BCDR,synthetic_only_matched,43,Recall,-0.20322580645161292
BCDR,synthetic_only_matched,43,F1-Score,-0.16187218684639826
BCDR,synthetic_only_matched,43,AUROC,-0.13896521969998665
BCDR,synthetic_only_matched,43,AUPRC,-0.11471167763895895
BCDR,synthetic_only_matched,44,accuracy,-0.06509945750452073
BCDR,synthetic_only_matched,44,Precision,-0.14185966125129623
BCDR,synthetic_only_matched,44,Recall,0.22741935483870968
BCDR,synthetic_only_matched,44,F1-Score,0.025312390924956407
BCDR,synthetic_only_matched,44,AUROC,-0.08982145227664928
BCDR,synthetic_only_matched,44,AUPRC,-0.040283530955671054
BCDR,synthetic_only_matched,45,accuracy,-0.14376130198915005
BCDR,synthetic_only_matched,45,Precision,-0.18019853709508882
BCDR,synthetic_only_matched,45,Recall,0.1758064516129032
BCDR,synthetic_only_matched,45,F1-Score,-0.03428556330585497
BCDR,synthetic_only_matched,45,AUROC,-0.16748971193415652
BCDR,synthetic_only_matched,45,AUPRC,-0.09481372299111257
BCDR,synthetic_only_matched,46,accuracy,-0.05786618444846292
BCDR,synthetic_only_matched,46,Precision,-0.18306002021321688
BCDR,synthetic_only_matched,46,Recall,0.2887096774193548
BCDR,synthetic_only_matched,46,F1-Score,0.0661437260226474
BCDR,synthetic_only_matched,46,AUROC,-0.1201612903225806
BCDR,synthetic_only_matched,46,AUPRC,-0.11366053407758436
CBIS-DDSM,synthetic_only_maximum,42,accuracy,-0.1542288557213931
CBIS-DDSM,synthetic_only_maximum,42,Precision,-0.2094918504314477
CBIS-DDSM,synthetic_only_maximum,42,Recall,0.05306122448979589
CBIS-DDSM,synthetic_only_maximum,42,F1-Score,-0.08034322951450024
CBIS-DDSM,synthetic_only_maximum,42,AUROC,-0.2250357467827897
CBIS-DDSM,synthetic_only_maximum,42,AUPRC,-0.17187120421074475
CBIS-DDSM,synthetic_only_maximum,43,accuracy,-0.1691542288557214
CBIS-DDSM,synthetic_only_maximum,43,Precision,-0.12953414744459524
CBIS-DDSM,synthetic_only_maximum,43,Recall,-0.21224489795918372
CBIS-DDSM,synthetic_only_maximum,43,F1-Score,-0.1863283386197091
CBIS-DDSM,synthetic_only_maximum,43,AUROC,-0.14366307032367076
CBIS-DDSM,synthetic_only_maximum,43,AUPRC,-0.11171707728334657
CBIS-DDSM,synthetic_only_maximum,44,accuracy,-0.09203980099502485
CBIS-DDSM,synthetic_only_maximum,44,Precision,-0.13896763524686984
CBIS-DDSM,synthetic_only_maximum,44,Recall,0.01632653061224487
CBIS-DDSM,synthetic_only_maximum,44,F1-Score,-0.054813665996411354
CBIS-DDSM,synthetic_only_maximum,44,AUROC,-0.11727544520993105
CBIS-DDSM,synthetic_only_maximum,44,AUPRC,-0.06840233728237677
CBIS-DDSM,synthetic_only_maximum,45,accuracy,-0.19402985074626866
CBIS-DDSM,synthetic_only_maximum,45,Precision,-0.08647102251753414
CBIS-DDSM,synthetic_only_maximum,45,Recall,-0.3224489795918367
CBIS-DDSM,synthetic_only_maximum,45,F1-Score,-0.2229492060275321
CBIS-DDSM,synthetic_only_maximum,45,AUROC,-0.21409073183413485
CBIS-DDSM,synthetic_only_maximum,45,AUPRC,-0.17680833981867417
CBIS-DDSM,synthetic_only_maximum,46,accuracy,-0.19651741293532343
CBIS-DDSM,synthetic_only_maximum,46,Precision,-0.14961082910321488
CBIS-DDSM,synthetic_only_maximum,46,Recall,-0.2571428571428571
CBIS-DDSM,synthetic_only_maximum,46,F1-Score,-0.2274586173320351
CBIS-DDSM,synthetic_only_maximum,46,AUROC,-0.23473287404133625
CBIS-DDSM,synthetic_only_maximum,46,AUPRC,-0.1660666811568008
BCDR,synthetic_only_maximum,42,accuracy,-0.10488245931283902
BCDR,synthetic_only_maximum,42,Precision,-0.1893340626281963
BCDR,synthetic_only_maximum,42,Recall,0.3500000000000001
