experiment,seed,dataset,best_epoch,val_loss,logfile,loss,accuracy,Precision,Recall,F1-Score,AUROC,AUPRC
hybrid_050,46,CBIS-DDSM,130,0.6252550482749939,hybrid_050_seed46/hybrid_050_seed46_seed46.txt,0.7408164143562317,0.7412935323383084,0.8542713567839196,0.6938775510204082,0.7657657657657657,0.8112829845313921,0.8582672795005463
hybrid_100,42,CBIS-DDSM,177,0.5657122135162354,hybrid_100_seed42/hybrid_100_full_ft_seed42_seed42.txt,0.658086359500885,0.7587064676616916,0.8162393162393162,0.7795918367346939,0.7974947807933194,0.81879630833225,0.8360662579426724
hybrid_100,43,CBIS-DDSM,274,0.6703082919120789,hybrid_100_seed43/hybrid_100_seed43_seed43.txt,0.7340909838676453,0.7437810945273632,0.8349056603773585,0.7224489795918367,0.774617067833698,0.785545300922917,0.8356725385150392
hybrid_100,44,CBIS-DDSM,26,0.5371598601341248,hybrid_100_seed44/hybrid_100_seed44_seed44.txt,0.6100884675979614,0.7512437810945274,0.8251121076233184,0.7510204081632653,0.7863247863247863,0.8303132718055375,0.8802873412707529
hybrid_100,45,CBIS-DDSM,214,0.5591340661048889,hybrid_100_seed45/hybrid_100_seed45_seed45.txt,0.7370440363883972,0.736318407960199,0.8564102564102564,0.6816326530612244,0.759090909090909,0.8077733004029637,0.8656176496239744
hybrid_100,46,CBIS-DDSM,122,0.6537109017372131,hybrid_100_seed46/hybrid_100_seed46_seed46.txt,0.7708956599235535,0.7164179104477612,0.8540540540540541,0.6448979591836734,0.7348837209302326,0.8066294033536983,0.860955493465393
hybrid_200,42,CBIS-DDSM,233,0.5647582411766052,hybrid_200_seed42/hybrid_200_seed42_seed42.txt,0.7060121297836304,0.7562189054726368,0.832579185520362,0.7510204081632653,0.7896995708154506,0.7982321591056805,0.8403528905283904
hybrid_200,43,CBIS-DDSM,272,0.7264971137046814,hybrid_200_seed43/hybrid_200_seed43_seed43.txt,0.767997145652771,0.736318407960199,0.845771144278607,0.6938775510204082,0.7623318385650224,0.7919147276745093,0.8375843917466586
hybrid_200,44,CBIS-DDSM,12,0.5361419320106506,hybrid_200_seed44/hybrid_200_seed44_seed44.txt,0.6269744634628296,0.7338308457711443,0.845,0.689795918367347,0.7595505617977528,0.812166904978552,0.8654325757323472
hybrid_200,45,CBIS-DDSM,145,0.6028799414634705,hybrid_200_seed45/hybrid_200_seed45_seed45.txt,0.719217836856842,0.7512437810945274,0.8222222222222222,0.7551020408163265,0.7872340425531915,0.797088262056415,0.8349097060452277
hybrid_200,46,CBIS-DDSM,229,0.6596593260765076,hybrid_200_seed46/hybrid_200_seed46_seed46.txt,0.6904503703117371,0.7587064676616916,0.8394495412844036,0.746938775510204,0.7904967602591793,0.8073573378395945,0.8368786736153333
hybrid_250,42,CBIS-DDSM,111,0.6006546020507812,hybrid_250_seed42/hybrid_250_seed42_seed42.txt,0.7207991480827332,0.7512437810945274,0.8571428571428571,0.710204081632653,0.7767857142857143,0.799506044455999,0.8501560513254308
hybrid_250,43,CBIS-DDSM,247,0.6912007331848145,hybrid_250_seed43/hybrid_250_seed43_seed43.txt,0.8052805066108704,0.7263681592039801,0.8534031413612565,0.6653061224489796,0.7477064220183486,0.7832315091641752,0.816187229710343
hybrid_250,44,CBIS-DDSM,18,0.5389570593833923,hybrid_250_seed44/hybrid_250_seed44_seed44.txt,0.6094932556152344,0.736318407960199,0.8293838862559242,0.7142857142857143,0.7675438596491229,0.8226439620434162,0.8713434626251628
hybrid_250,45,CBIS-DDSM,19,0.5345825552940369,hybrid_250_seed45/hybrid_250_seed45_seed45.txt,0.5650511980056763,0.746268656716418,0.8235294117647058,0.7428571428571429,0.7811158798283262,0.8203821656050954,0.8557251803643801
hybrid_250,46,CBIS-DDSM,73,0.5890467166900635,hybrid_250_seed46/hybrid_250_seed46_seed46.txt,0.7841824889183044,0.7189054726368159,0.851063829787234,0.6530612244897959,0.7390300230946882,0.7916027557519824,0.8489061152049676
synthetic_only_matched,42,CBIS-DDSM,73,0.8445060849189758,synthetic_only_matched_seed42/synthetic_only_matched_seed42_seed42.txt,0.9405179023742676,0.5870646766169154,0.7581699346405228,0.47346938775510206,0.5829145728643216,0.6652541271285586,0.7607905288956054
synthetic_only_matched,43,CBIS-DDSM,12,0.6799045205116272,synthetic_only_matched_seed43/synthetic_only_matched_seed43_seed43.txt,0.7230179905891418,0.5447761194029851,0.6890243902439024,0.46122448979591835,0.5525672371638142,0.6166385025347719,0.6962113889420638
synthetic_only_matched,44,CBIS-DDSM,17,0.7478649616241455,synthetic_only_matched_seed44/synthetic_only_matched_seed44_seed44.txt,0.648841917514801,0.6343283582089553,0.6689655172413793,0.7918367346938775,0.7252336448598131,0.6393864552190303,0.7115852664203355
synthetic_only_matched,45,CBIS-DDSM,14,0.7284799218177795,synthetic_only_matched_seed45/synthetic_only_matched_seed45_seed45.txt,0.7578908205032349,0.5771144278606966,0.654320987654321,0.6489795918367347,0.6516393442622951,0.5594436500714935,0.6520085880644715
synthetic_only_matched,46,CBIS-DDSM,67,0.7914792895317078,synthetic_only_matched_seed46/synthetic_only_matched_seed46_seed46.txt,0.7963007688522339,0.6218905472636815,0.694560669456067,0.6775510204081633,0.6859504132231405,0.6359027687508124,0.7105053110710028
synthetic_only_maximum,42,CBIS-DDSM,3,0.7186906337738037,synthetic_only_maximum_seed42/synthetic_only_maximum_seed42_seed42.txt,0.6526499390602112,0.6094527363184079,0.6476510067114094,0.7877551020408163,0.7108655616942909,0.6157025867671908,0.7179730656276925
synthetic_only_maximum,43,CBIS-DDSM,6,0.6970829963684082,synthetic_only_maximum_seed43/synthetic_only_maximum_seed43_seed43.txt,0.7464755177497864,0.572139303482587,0.7212121212121212,0.4857142857142857,0.5804878048780487,0.67471727544521,0.7531845111422248
synthetic_only_maximum,44,CBIS-DDSM,5,0.6607837080955505,synthetic_only_maximum_seed44/synthetic_only_maximum_seed44_seed44.txt,0.6383187174797058,0.6616915422885572,0.7188755020080321,0.7306122448979592,0.7246963562753036,0.6901338879500845,0.7548450169457179
synthetic_only_maximum,45,CBIS-DDSM,43,0.8407065272331238,synthetic_only_maximum_seed45/synthetic_only_maximum_seed45_seed45.txt,0.9379760026931763,0.5746268656716418,0.7151162790697675,0.5020408163265306,0.5899280575539568,0.6243598076173145,0.7026302871190622
synthetic_only_maximum,46,CBIS-DDSM,144,0.9654918313026428,synthetic_only_maximum_seed46/synthetic_only_maximum_seed46_seed46.txt,1.1012581586837769,0.5497512437810945,0.7133333333333334,0.43673469387755104,0.5417721518987342,0.5871311581957624,0.6964473195526665
real_only,42,BCDR,90,0.5889186859130859,real_only_seed42/real_only_full_ft_seed42_seed42.txt,0.8190599083900452,0.6826401446654611,0.7611650485436893,0.632258064516129,0.690748898678414,0.7362355635205098,0.7350880470047096
real_only,43,BCDR,264,0.6752918362617493,real_only_seed43/real_only_seed43_seed43.txt,0.8141556978225708,0.6952983725135624,0.7715930902111324,0.6483870967741936,0.7046450482033304,0.7544553962564715,0.7672212138142223
real_only,44,BCDR,230,0.6396061778068542,real_only_seed44/real_only_seed44_seed44.txt,0.8281940817832947,0.6781193490054249,0.7509505703422054,0.6370967741935484,0.6893542757417103,0.7260503783353245,0.7281158244985317
real_only,45,BCDR,43,0.589559018611908,real_only_seed45/real_only_seed45_seed45.txt,0.7150905132293701,0.6980108499095841,0.746551724137931,0.6983870967741935,0.7216666666666667,0.7475988981813355,0.7461251938520128
real_only,46,BCDR,49,0.6393918991088867,real_only_seed46/real_only_seed46_seed46.txt,0.80694979429245,0.6482820976491862,0.7837837837837838,0.5145161290322581,0.6212268743914313,0.7290272799681401,0.7741853873772288
hybrid_025,42,BCDR,248,0.6120619177818298,hybrid_025_seed42/hybrid_025_seed42_seed42.txt,0.8032581806182861,0.6835443037974683,0.75,0.6532258064516129,0.6982758620689655,0.7422424664808178,0.7407674519093708
hybrid_025,43,BCDR,34,0.5780894160270691,hybrid_025_seed43/hybrid_025_seed43_seed43.txt,0.7248467206954956,0.701627486437613,0.7645985401459854,0.6758064516129032,0.7174657534246576,0.7555738085756007,0.7581845546751359
hybrid_025,44,BCDR,17,0.5512128472328186,hybrid_025_seed44/hybrid_025_seed44_seed44.txt,0.6489689350128174,0.6880650994575045,0.7541589648798521,0.6580645161290323,0.7028423772609819,0.7516610248241073,0.7409748300501768
hybrid_025,45,BCDR,206,0.5827975273132324,hybrid_025_seed45/hybrid_025_seed45_seed45.txt,0.7946169972419739,0.6871609403254972,0.7707509881422925,0.6290322580645161,0.6927175843694494,0.7436894331607593,0.750582347896425
hybrid_025,46,BCDR,38,0.6185625195503235,hybrid_025_seed46/hybrid_025_seed46_seed46.txt,0.7806265354156494,0.6464737793851718,0.7390396659707724,0.5709677419354838,0.6442220200181984,0.7017804991371299,0.7334113856310389
hybrid_050,42,BCDR,229,0.5932130813598633,hybrid_050_seed42/hybrid_050_full_ft_seed42_seed42.txt,0.7732323408126831,0.6907775768535263,0.7536496350364964,0.6661290322580645,0.7071917808219178,0.7431086552502322,0.7529884114052596
hybrid_050,43,BCDR,262,0.6645388007164001,hybrid_050_seed43/hybrid_050_seed43_seed43.txt,0.7902323007583618,0.705244122965642,0.7663043478260869,0.682258064516129,0.7218430034129693,0.7620503119607063,0.7786372883297754
hybrid_050,44,BCDR,72,0.6241835951805115,hybrid_050_seed44/hybrid_050_seed44_seed44.txt,0.8183115124702454,0.6708860759493671,0.7415094339622641,0.6338709677419355,0.6834782608695652,0.7163663215186513,0.7215861998128605
hybrid_050,45,BCDR,183,0.5920834541320801,hybrid_050_seed45/hybrid_050_seed45_seed45.txt,0.7852583527565002,0.6772151898734177,0.7404021937842779,0.6532258064516129,0.6940874035989717,0.7443764104606398,0.7506356727907031
hybrid_050,46,BCDR,130,0.6252550482749939,hybrid_050_seed46/hybrid_050_seed46_seed46.txt,0.8869407176971436,0.6546112115732369,0.7479166666666667,0.5790322580645161,0.6527272727272727,0.7212714058144165,0.7505668411068422
hybrid_100,42,BCDR,177,0.5657122135162354,hybrid_100_seed42/hybrid_100_full_ft_seed42_seed42.txt,0.7635523676872253,0.6889692585895117,0.7277227722772277,0.7112903225806452,0.7194127243066885,0.7304344218770743,0.7350397386664012
hybrid_100,43,BCDR,274,0.6703082919120789,hybrid_100_seed43/hybrid_100_seed43_seed43.txt,0.8338644504547119,0.6862567811934901,0.7802874743326489,0.6129032258064516,0.6865401987353207,0.7513158768087084,0.7682581573698468
hybrid_100,44,BCDR,26,0.5371598601341248,hybrid_100_seed44/hybrid_100_seed44_seed44.txt,0.7538903951644897,0.6500904159132007,0.7629796839729119,0.5451612903225806,0.6359360301034808,0.7272052966945441,0.7311987490729353
hybrid_100,45,BCDR,214,0.5591340661048889,hybrid_100_seed45/hybrid_100_seed45_seed45.txt,0.8988463878631592,0.6528028933092225,0.7622222222222222,0.5532258064516129,0.6411214953271028,0.7136881056683924,0.7436793955383568
hybrid_100,46,BCDR,122,0.6537109017372131,hybrid_100_seed46/hybrid_100_seed46_seed46.txt,0.8242318630218506,0.6555153707052441,0.7463917525773196,0.5838709677419355,0.6552036199095023,0.7242549449090667,0.7485914061933472
hybrid_200,42,BCDR,233,0.5647582411766052,hybrid_200_seed42/hybrid_200_seed42_seed42.txt,0.9015990495681763,0.6546112115732369,0.75,0.5758064516129032,0.6514598540145985,0.7118926722421346,0.7196396291947377
hybrid_200,43,BCDR,272,0.7264971137046814,hybrid_200_seed43/hybrid_200_seed43_seed43.txt,0.8866692781448364,0.6482820976491862,0.7796610169491526,0.5193548387096775,0.6234269119070668,0.7538547059604408,0.773537924182501
hybrid_200,44,BCDR,12,0.5361419320106506,hybrid_200_seed44/hybrid_200_seed44_seed44.txt,0.6629225015640259,0.6555153707052441,0.7537154989384289,0.5725806451612904,0.6507791017415215,0.7392356962697464,0.7552366398577031
hybrid_200,45,BCDR,145,0.6028799414634705,hybrid_200_seed45/hybrid_200_seed45_seed45.txt,0.8595343828201294,0.6636528028933092,0.7695652173913043,0.5709677419354838,0.6555555555555556,0.7312209611044735,0.7363047562546092
hybrid_200,46,BCDR,229,0.6596593260765076,hybrid_200_seed46/hybrid_200_seed46_seed46.txt,0.8035072684288025,0.6781193490054249,0.7558139534883721,0.6290322580645161,0.6866197183098591,0.7288580246913581,0.7494091650677273
hybrid_250,42,BCDR,111,0.6006546020507812,hybrid_250_seed42/hybrid_250_seed42_seed42.txt,0.8295820951461792,0.6699819168173599,0.7410207939508506,0.632258064516129,0.6823324630113142,0.7193963228461436,0.7253886860744961
hybrid_250,43,BCDR,247,0.6912007331848145,hybrid_250_seed43/hybrid_250_seed43_seed43.txt,0.8774282336235046,0.6464737793851718,0.7884130982367759,0.5048387096774194,0.615535889872173,0.746198393734236,0.7601980285879214
hybrid_250,44,BCDR,18,0.5389570593833923,hybrid_250_seed44/hybrid_250_seed44_seed44.txt,0.6655807495117188,0.6618444846292948,0.7469879518072289,0.6,0.6654740608228981,0.733627041019514,0.7381066282824893
hybrid_250,45,BCDR,19,0.5345825552940369,hybrid_250_seed45/hybrid_250_seed45_seed45.txt,0.649070680141449,0.6934900542495479,0.7728155339805826,0.6419354838709678,0.7013215859030837,0.7603560998274259,0.7668045584547329
hybrid_250,46,BCDR,73,0.5890467166900635,hybrid_250_seed46/hybrid_250_seed46_seed46.txt,0.9340692162513733,0.6157323688969258,0.7407407407407407,0.4838709677419355,0.5853658536585366,0.6794421213328024,0.7136752550770751
synthetic_only_matched,42,BCDR,73,0.8445060849189758,synthetic_only_matched_seed42/synthetic_only_matched_seed42_seed42.txt,0.7839832305908203,0.5940325497287523,0.6103225806451613,0.7629032258064516,0.6781362007168459,0.6027678215850258,0.6442758547662941
synthetic_only_matched,43,BCDR,12,0.6799045205116272,synthetic_only_matched_seed43/synthetic_only_matched_seed43_seed43.txt,0.7069223523139954,0.5795660036166366,0.6952141057934509,0.44516129032258067,0.5427728613569321,0.6154901765564849,0.6525095361752633
synthetic_only_matched,44,BCDR,17,0.7478649616241455,synthetic_only_matched_seed44/synthetic_only_matched_seed44_seed44.txt,0.6909875869750977,0.6130198915009042,0.6090909090909091,0.864516129032258,0.7146666666666667,0.6362289260586752,0.6878322935428607
synthetic_only_matched,45,BCDR,14,0.7284799218177795,synthetic_only_matched_seed45/synthetic_only_matched_seed45_seed45.txt,0.7254762053489685,0.554249547920434,0.5663531870428422,0.8741935483870967,0.6873811033608117,0.580109186247179,0.6513114708609002
synthetic_only_matched,46,BCDR,67,0.7914792895317078,synthetic_only_matched_seed46/synthetic_only_matched_seed46_seed46.txt,0.7954630255699158,0.5904159132007233,0.6007237635705669,0.8032258064516129,0.6873706004140787,0.6088659896455595,0.6605248532996444
synthetic_only_maximum,42,BCDR,3,0.7186906337738037,synthetic_only_maximum_seed42/synthetic_only_maximum_seed42_seed42.txt,0.7280280590057373,0.5777576853526221,0.571830985915493,0.9822580645161291,0.7228486646884273,0.6088029337581309,0.6498058315101221
synthetic_only_maximum,43,BCDR,6,0.6970829963684082,synthetic_only_maximum_seed43/synthetic_only_maximum_seed43_seed43.txt,0.6407809853553772,0.6365280289330922,0.6804635761589404,0.6629032258064517,0.6715686274509803,0.697091132350989,0.7156067817673506
synthetic_only_maximum,44,BCDR,5,0.6607837080955505,synthetic_only_maximum_seed44/synthetic_only_maximum_seed44_seed44.txt,0.6577019691467285,0.6193490054249547,0.6208991494532199,0.8241935483870968,0.7082467082467082,0.6490491835921943,0.6989704591156212
synthetic_only_maximum,45,BCDR,43,0.8407065272331238,synthetic_only_maximum_seed45/synthetic_only_maximum_seed45_seed45.txt,0.7506800889968872,0.5958408679927667,0.6349453978159126,0.6564516129032258,0.6455194290245837,0.62592094782955,0.6808413296250124
synthetic_only_maximum,46,BCDR,144,0.9654918313026428,synthetic_only_maximum_seed46/synthetic_only_maximum_seed46_seed46.txt,0.9339534044265747,0.5497287522603979,0.6182170542635659,0.5145161290322581,0.5616197183098591,0.5784033585556883,0.6349658680512259
